event_id,event_name,event_address,event_start_date,event_end_date,event_start_time,event_end_time
2ab60824-b539-4a1f-ae1a-f7d94d2d55bb,Eintracht Frankfurt vs. Bayern München,"Mörfelder Landstraße 362, 60528 Frankfurt am Main",2019-11-02,2019-11-02,15:30:00,18:00:00
7be626b0-c1cd-4a26-a111-60afb13ba940,Santiano,"Ludwig-Erhard-Anlage 1, 60327 Frankfurt am Main",2020-10-28,2020-10-28,18:00:00,20:00:00
eff7e9ae-9c58-42e1-8835-0d51c33dc480,Twenty2X,"Messegelände, 30521 Hannover",2020-03-12,2020-03-19,12:00:00,20:00:00
e6930b99-e8ca-49f8-9583-89f54366dc14,World Club Dome,"Mörfelder Landstraße 362, 60528 Frankfurt am Main",2020-06-05,2020-06-07,20:00:00,18:00:00
